Methodology Code,Registry,Methodology Name,Project Type Category
VCS v1 Project Specific,Verra,VCS v1 Project Specific,Industrial efficiency
ACM0001,Verra,ACM0001; AMS-III.B.,Landfill gas
AMS-I.C.,Verra,AMS-I.C.; AMS-III.R.,Mixed renewables
ACM0022,Verra,ACM0022; Methodology Under Development,Landfill gas
AM0024,Verra,AM0024,Wind
AM0001,Verra,AM0001,Industrial efficiency
AMS-II.B.,Verra,AMS-II.B.,Efficient appliances
ACM0002,Verra,ACM0002; ACM0022,Mixed renewables
AM0026,Verra,AM0026,Hydropower
AMS-I.D.,Verra,AMS-I.D.; AMS-III.D.; AMS-III.H.,Mixed renewables
AM0016,Verra,AM0016,Industrial efficiency
AM0028,Verra,AM0028; AM0034; ACM0019,Mixed renewables
AM0034,Verra,AM0034; ACM0019,Mixed renewables
VM0011,Verra,VM0011,Forest management
AMS-I.C.,Verra,AMS-I.C.; AMS-III.E.,Mixed renewables
AR-AMS0004,Verra,AR-AMS0004,Afforestation/Reforestation
AR-AMS0005,Verra,AR-AMS0005,Afforestation/Reforestation
VM0005,Verra,VM0005; AR-ACM0003,Forest management
AR-AMS0003,Verra,AR-AMS0003,Afforestation/Reforestation
AM0030,Verra,AM0030,Fossil gas leaks
ACM0011,Verra,ACM0011,Landfill gas
ACM0017,Verra,ACM0017; VM0017,Forest management
AM0059,Verra,AM0059,Waste to energy
VMR0001,Verra,VMR0001,Forest management
AMS-III.M.,Verra,AMS-III.M.,Wastewater treatment
AR-AMS0002,Verra,AR-AMS0002,Afforestation/Reforestation
AMS-II.H.,Verra,AMS-II.H.,Efficient appliances
AR-ACM0002,Verra,AR-ACM0002,Afforestation/Reforestation
